ref_area,time,sex,obs_value_unempl_rate,obs_value_informal,obs_value_worked_hours,obs_value_NEET,obs_value_PKB,obs_value_economic_freedom_overall,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Bosnia and Herzegovina,2022,Male,10.702,16.642,779.51,17.193,52962.28,63.4,49.2,33.4,37.2,94.0,46.2,95.9,66.6,60.2,84.9,68.8,65.0,60.0
Bosnia and Herzegovina,2022,Total,12.657,19.889,1296.466,17.623,52962.28,63.4,49.2,33.4,37.2,94.0,46.2,95.9,66.6,60.2,84.9,68.8,65.0,60.0
Bosnia and Herzegovina,2023,Female,12.818,24.581,545.416,14.996,52249.13,62.9,48.2,34.3,33.1,93.2,46.6,96.3,67.0,60.6,81.9,68.0,65.0,60.0
Bosnia and Herzegovina,2023,Male,9.13,16.294,794.901,16.909,52249.13,62.9,48.2,34.3,33.1,93.2,46.6,96.3,67.0,60.6,81.9,68.0,65.0,60.0
Bosnia and Herzegovina,2023,Total,10.668,19.666,1340.318,15.98,52249.13,62.9,48.2,34.3,33.1,93.2,46.6,96.3,67.0,60.6,81.9,68.0,65.0,60.0
Bulgaria,2015,Female,8.417,3.918,1424.34,19.186,56829.01,66.8,30.0,41.0,,91.0,64.5,,68.5,76.6,83.2,88.0,65.0,60.0
Bulgaria,2015,Male,9.777,5.688,1607.52,17.799,56829.01,66.8,30.0,41.0,,91.0,64.5,,68.5,76.6,83.2,88.0,65.0,60.0
Bulgaria,2015,Total,9.143,4.853,3031.86,18.474,56829.01,66.8,30.0,41.0,,91.0,64.5,,68.5,76.6,83.2,88.0,65.0,60.0
Bulgaria,2016,Female,6.968,4.242,1409.155,19.642,59017.89,65.9,30.0,43.0,,91.1,60.4,,66.9,71.6,82.6,88.0,65.0,60.0
Bulgaria,2016,Male,8.1,4.607,1607.648,16.831,59017.89,65.9,30.0,43.0,,91.1,60.4,,66.9,71.6,82.6,88.0,65.0,60.0
Bulgaria,2016,Total,7.575,4.436,3016.803,18.198,59017.89,65.9,30.0,43.0,,91.1,60.4,,66.9,71.6,82.6,88.0,65.0,60.0
Bulgaria,2017,Female,5.946,2.438,1467.681,18.071,57987.46,67.9,62.5,41.8,38.9,91.0,58.4,86.4,66.7,68.3,83.3,87.0,70.0,60.0
Bulgaria,2017,Male,6.354,3.87,1682.57,13.745,57987.46,67.9,62.5,41.8,38.9,91.0,58.4,86.4,66.7,68.3,83.3,87.0,70.0,60.0
Bulgaria,2017,Total,6.164,3.193,3150.251,15.848,57987.46,67.9,62.5,41.8,38.9,91.0,58.4,86.4,66.7,68.3,83.3,87.0,70.0,60.0
Bulgaria,2018,Female,4.654,2.76,1467.341,15.796,59563.82,68.3,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0
Bulgaria,2018,Male,5.692,3.703,1685.322,11.995,59563.82,68.3,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0
Bulgaria,2018,Total,5.211,3.263,3152.662,13.844,59563.82,68.3,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0
Bulgaria,2019,Female,3.795,2.979,1420.827,13.803,60481.11,69.0,62.5,35.1,41.9,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0
Bulgaria,2019,Male,4.455,2.941,1623.322,13.301,60481.11,69.0,62.5,35.1,41.9,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0
Bulgaria,2019,Total,4.148,2.959,3044.148,13.546,60481.11,69.0,62.5,35.1,41.9,90.2,63.9,98.8,62.7,68.4,88.0,86.0,70.0,60.0
Bulgaria,2020,Female,4.673,2.155,1365.834,15.273,59885.73,70.2,64.2,44.2,45.4,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70.0,60.0
Bulgaria,2020,Male,5.351,3.212,1566.655,14.166,59885.73,70.2,64.2,44.2,45.4,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70.0,60.0
Bulgaria,2020,Total,5.037,2.726,2932.489,14.706,59885.73,70.2,64.2,44.2,45.4,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70.0,60.0
Bulgaria,2021,Female,4.919,1.574,1341.63,13.942,65649.61,70.4,66.2,46.8,43.6,93.9,64.7,99.2,62.9,68.5,85.2,84.0,70.0,60.0
Bulgaria,2021,Male,5.381,0.991,1535.575,13.212,65649.61,70.4,66.2,46.8,43.6,93.9,64.7,99.2,62.9,68.5,85.2,84.0,70.0,60.0
Bulgaria,2021,Total,5.166,1.261,2877.205,13.568,65649.61,70.4,66.2,46.8,43.6,93.9,64.7,99.2,62.9,68.5,85.2,84.0,70.0,60.0
Bulgaria,2022,Female,3.929,1.323,1379.464,13.883,66415.88,71.0,77.3,45.6,61.1,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60.0,60.0
Bulgaria,2022,Male,4.34,1.29,1561.124,11.286,66415.88,71.0,77.3,45.6,61.1,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60.0,60.0
Bulgaria,2022,Total,4.148,1.305,2940.588,12.55,66415.88,71.0,77.3,45.6,61.1,93.9,60.5,96.2,72.1,64.4,81.9,79.2,60.0,60.0
Bulgaria,2023,Female,4.218,1.794,1378.426,10.829,67767.2,69.3,75.3,57.1,43.9,93.7,56.5,90.5,71.8,63.8,80.2,78.6,60.0,60.0
Bulgaria,2023,Male,4.41,0.745,1553.473,11.458,67767.2,69.3,75.3,57.1,43.9,93.7,56.5,90.5,71.8,63.8,80.2,78.6,60.0,60.0
Bulgaria,2023,Total,4.319,1.24,2931.898,11.152,67767.2,69.3,75.3,57.1,43.9,93.7,56.5,90.5,71.8,63.8,80.2,78.6,60.0,60.0
