ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_worked_hours;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 35-39;2020;81.843;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 40-48;2020;100.058;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 49+;2020;81.499;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;LFS - Labour Force Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Not elsewhere classified;2020;41.98;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Total;2017;6396.534;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 1-14;2017;1013.716;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 15-29;2017;1353.05;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 30-34;2017;371.096;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 35-39;2017;417.924;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 40-48;2017;1166.698;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 49+;2017;1920.4;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Not elsewhere classified;2017;153.65;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Total;2017;5018.31;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 1-14;2017;399.734;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 15-29;2017;899.951;;;;Repository: ILO-STATISTICS - Micro data processing
Afghanistan;HIES - Households Living Conditions Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 30-34;2017;332.008;;;;Repository: ILO-STATISTICS - Micro data processing
