ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_informal;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Agriculture;2022;99.889;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2022;89.886;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Total;2022;92.205;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Agriculture;2022;99.752;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Industry;2022;83.946;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Services;2022;83.484;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Not classified;2022;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Total;2022;88.839;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Agriculture;2022;99.585;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Industry;2022;82.931;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Services;2022;77.171;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Not classified;2022;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Total;2022;95.438;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Agriculture;2022;99.889;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Industry;2022;91.372;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Services;2022;89.27;;;;Repository: ILO-STATISTICS - Micro data processing
