ref_area.label;source.label;indicator.label;sex.label;time;obs_value_NEET;obs_status.label;note_indicator.label;note_source.label
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2023;8.085;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2023;7.729;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2022;8.389;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2022;8.713;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2022;8.046;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2021;9.27;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2021;10.083;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2021;8.408;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2020;10.706;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Male;2020;11.698;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Female;2020;9.656;;;Repository: ILO-STATISTICS - Micro data processing
Australia;LFS - Labour Force Survey;Share of youth not in employment, education or training (NEET) by sex (%);Total;2019;9.361;;;Repository: ILO-STATISTICS - Micro data processing
